Horizontal
i:11, j:58, left:8, right:8
i:11, j:62, left:8, right:8
i:11, j:65, left:8, right:8
i:11, j:67, left:8, right:8
i:11, j:69, left:8, right:8
i:11, j:70, left:8, right:8
i:11, j:71, left:8, right:8
i:11, j:72, left:8, right:8
i:11, j:86, left:8, right:8
i:11, j:88, left:8, right:8
i:11, j:93, left:8, right:8
i:11, j:95, left:8, right:8
i:11, j:96, left:8, right:8
i:11, j:97, left:8, right:8
i:11, j:103, left:8, right:8
i:11, j:104, left:8, right:8
i:11, j:107, left:8, right:8
i:11, j:108, left:8, right:8
i:11, j:109, left:8, right:8
i:11, j:113, left:7, right:8
i:11, j:118, left:7, right:7
i:12, j:1, left:8, right:8
i:12, j:2, left:8, right:8
i:12, j:4, left:8, right:8
i:12, j:7, left:8, right:8
i:12, j:8, left:8, right:8
i:12, j:19, left:8, right:8
i:12, j:27, left:1, right:0
i:12, j:39, left:1, right:0
i:12, j:41, left:5, right:1
i:12, j:46, left:8, right:8
i:12, j:50, left:8, right:8
i:12, j:51, left:8, right:8
i:12, j:56, left:8, right:8
i:12, j:59, left:8, right:8
i:12, j:60, left:8, right:8
i:12, j:61, left:8, right:8
i:12, j:63, left:8, right:8
i:12, j:64, left:8, right:8
i:12, j:66, left:8, right:8
i:12, j:68, left:8, right:8
i:12, j:75, left:8, right:8
i:12, j:78, left:8, right:8
i:12, j:79, left:8, right:8
i:12, j:80, left:8, right:8
i:12, j:83, left:8, right:8
i:12, j:87, left:8, right:8
i:12, j:89, left:8, right:8
i:12, j:90, left:8, right:8
i:12, j:94, left:8, right:8
i:12, j:100, left:8, right:8
i:12, j:110, left:8, right:8
i:12, j:114, left:7, right:7
i:12, j:117, left:7, right:7
i:12, j:119, left:7, right:7
i:13, j:0, left:8, right:8
i:13, j:3, left:8, right:8
i:13, j:9, left:8, right:8
i:13, j:10, left:8, right:8
i:13, j:11, left:8, right:8
i:13, j:12, left:8, right:8
i:13, j:15, left:8, right:8
i:13, j:16, left:8, right:8
i:13, j:17, left:8, right:8
i:13, j:18, left:8, right:8
i:13, j:20, left:8, right:8
i:13, j:28, left:0, right:0
i:13, j:40, left:1, right:0
i:13, j:44, left:8, right:7
i:13, j:45, left:8, right:8
i:13, j:49, left:8, right:8
i:13, j:52, left:8, right:8
i:13, j:53, left:8, right:8
i:13, j:54, left:8, right:8
i:13, j:55, left:8, right:8
i:13, j:57, left:8, right:8
i:13, j:58, left:8, right:8
i:13, j:62, left:8, right:8
i:13, j:65, left:8, right:8
i:13, j:67, left:8, right:8
i:13, j:76, left:8, right:8
i:13, j:77, left:8, right:8
i:13, j:84, left:8, right:8
i:13, j:85, left:8, right:8
i:13, j:86, left:8, right:8
i:13, j:88, left:8, right:8
i:13, j:91, left:8, right:8
i:13, j:99, left:8, right:8
i:13, j:101, left:8, right:8
i:13, j:106, left:8, right:8
i:13, j:109, left:8, right:8
i:13, j:113, left:8, right:8
i:13, j:118, left:7, right:7
i:14, j:1, left:8, right:8
i:14, j:2, left:8, right:8
i:14, j:4, left:8, right:8
i:14, j:13, left:8, right:8
i:14, j:14, left:8, right:8
i:14, j:19, left:8, right:8
i:14, j:21, left:8, right:7
i:14, j:24, left:3, right:1
i:14, j:25, left:1, right:0
i:14, j:29, left:1, right:0
i:14, j:32, left:1, right:1
i:14, j:33, left:1, right:1
i:14, j:41, left:1, right:1
i:14, j:46, left:8, right:8
i:14, j:47, left:8, right:8
i:14, j:48, left:8, right:8
i:14, j:56, left:8, right:8
i:14, j:61, left:8, right:8
i:14, j:66, left:8, right:8
i:14, j:80, left:8, right:8
i:14, j:83, left:8, right:8
i:14, j:87, left:8, right:8
i:14, j:92, left:8, right:8
i:14, j:95, left:8, right:8
i:14, j:98, left:8, right:8
i:14, j:100, left:8, right:8
i:14, j:102, left:8, right:8
i:14, j:105, left:8, right:8
i:14, j:112, left:8, right:8
i:14, j:114, left:8, right:8
i:14, j:115, left:7, right:7
i:14, j:116, left:7, right:7
i:14, j:117, left:7, right:7
i:14, j:119, left:7, right:7
i:15, j:0, left:8, right:8
i:15, j:3, left:8, right:8
i:15, j:5, left:8, right:8
i:15, j:6, left:8, right:8
i:15, j:7, left:8, right:8
i:15, j:8, left:8, right:8
i:15, j:9, left:8, right:8
