Horizontal
i:17, j:104, left:8, right:8
i:17, j:105, left:8, right:8
i:17, j:106, left:8, right:8
i:17, j:109, left:8, right:8
i:17, j:112, left:8, right:8
i:17, j:115, left:8, right:8
i:17, j:118, left:8, right:8
i:18, j:0, left:7, right:7
i:18, j:1, left:7, right:7
i:18, j:2, left:7, right:7
i:18, j:5, left:7, right:6
i:18, j:6, left:6, right:6
i:18, j:8, left:6, right:6
i:18, j:9, left:6, right:6
i:18, j:11, left:6, right:5
i:18, j:18, left:8, right:8
i:18, j:34, left:6, right:6
i:18, j:41, left:6, right:6
i:18, j:44, left:6, right:6
i:18, j:45, left:6, right:6
i:18, j:47, left:6, right:6
i:18, j:52, left:6, right:6
i:18, j:54, left:6, right:6
i:18, j:57, left:6, right:6
i:18, j:58, left:6, right:6
i:18, j:59, left:6, right:5
i:18, j:67, left:4, right:5
i:18, j:68, left:4, right:4
i:18, j:69, left:4, right:4
i:18, j:74, left:4, right:4
i:18, j:78, left:4, right:4
i:18, j:80, left:5, right:5
i:18, j:81, left:5, right:5
i:18, j:82, left:5, right:5
i:18, j:83, left:5, right:5
i:18, j:84, left:5, right:5
i:18, j:87, left:5, right:5
i:18, j:95, left:8, right:8
i:18, j:97, left:8, right:8
i:18, j:98, left:8, right:8
i:18, j:101, left:8, right:8
i:18, j:102, left:8, right:8
i:18, j:107, left:8, right:8
i:18, j:108, left:8, right:8
i:18, j:110, left:8, right:8
i:18, j:111, left:8, right:8
i:18, j:113, left:8, right:8
i:18, j:114, left:8, right:8
i:18, j:119, left:8, right:8
i:19, j:7, left:6, right:5
i:19, j:10, left:5, right:5
i:19, j:12, left:5, right:5
i:19, j:13, left:5, right:5
i:19, j:21, left:8, right:8
i:19, j:22, left:8, right:9
i:19, j:23, left:8, right:9
i:19, j:24, left:7, right:8
i:19, j:25, left:7, right:8
i:19, j:26, left:7, right:8
i:19, j:31, left:7, right:7
i:19, j:35, left:6, right:7
i:19, j:38, left:6, right:6
i:19, j:46, left:6, right:6
i:19, j:53, left:6, right:6
i:19, j:55, left:6, right:6
i:19, j:56, left:6, right:6
i:19, j:60, left:5, right:5
i:19, j:61, left:5, right:5
i:19, j:62, left:5, right:5
i:19, j:77, left:4, right:4
i:19, j:79, left:5, right:5
i:19, j:88, left:6, right:6
i:19, j:96, left:8, right:8
i:19, j:109, left:8, right:8
i:19, j:112, left:8, right:8
i:19, j:115, left:8, right:8
i:19, j:116, left:8, right:8
i:19, j:117, left:8, right:8
i:19, j:118, left:8, right:8
i:20, j:6, left:6, right:5
i:20, j:11, left:5, right:5
i:20, j:16, left:5, right:5
i:20, j:19, left:8, right:7
i:20, j:20, left:8, right:7
i:20, j:29, left:8, right:8
i:20, j:30, left:7, right:8
i:20, j:32, left:7, right:8
i:20, j:36, left:7, right:7
i:20, j:37, left:6, right:6
i:20, j:39, left:6, right:6
i:20, j:40, left:6, right:6
i:20, j:43, left:6, right:6
i:20, j:44, left:6, right:5
i:20, j:45, left:6, right:5
i:20, j:54, left:6, right:6
i:20, j:59, left:5, right:5
i:20, j:71, left:4, right:5
i:20, j:72, left:4, right:5
i:20, j:73, left:5, right:5
i:20, j:74, left:5, right:5
i:20, j:78, left:4, right:5
i:20, j:93, left:7, right:7
i:20, j:99, left:8, right:8
i:20, j:102, left:8, right:8
i:20, j:103, left:8, right:8
i:20, j:104, left:8, right:8
i:20, j:105, left:8, right:8
i:20, j:106, left:8, right:8
i:20, j:113, left:8, right:8
i:20, j:114, left:8, right:8
i:20, j:119, left:8, right:8
i:21, j:0, left:7, right:6
i:21, j:5, left:5, right:5
i:21, j:9, left:5, right:5
i:21, j:10, left:5, right:5
i:21, j:14, left:5, right:5
i:21, j:15, left:5, right:5
i:21, j:23, left:8, right:7
i:21, j:24, left:9, right:8
i:21, j:25, left:9, right:8
i:21, j:26, left:9, right:9
i:21, j:27, left:9, right:9
i:21, j:28, left:9, right:9
i:21, j:31, left:8, right:8
i:21, j:33, left:7, right:8
i:21, j:34, left:7, right:8
i:21, j:35, left:7, right:8
i:21, j:38, left:6, right:7
i:21, j:41, left:6, right:6
i:21, j:42, left:6, right:6
i:21, j:64, left:5, right:4
i:21, j:65, left:5, right:4
i:21, j:68, left:4, right:4
i:21, j:69, left:4, right:4
i:21, j:70, left:4, right:4
i:21, j:77, left:5, right:5
i:21, j:87, left:6, right:6
i:21, j:90, left:6, right:6
i:21, j:94, left:7, right:7
i:21, j:100, left:8, right:8
i:21, j:101, left:8, right:8
i:21, j:107, left:8, right:8
i:21, j:108, left:8, right:8
i:21, j:109, left:8, right:8
i:21, j:110, left:8, right:8
i:21, j:117, left:8, right:8
i:21, j:118, left:8, right:8
i:22, j:1, left:5, right:5
i:22, j:4, left:5, right:5
i:22, j:6, left:5, right:5
i:22, j:7, left:5, right:5
i:22, j:8, left:5, right:5
i:22, j:11, left:5, right:5
i:22, j:12, left:5, right:5
i:22, j:13, left:5, right:5
i:22, j:16, left:5, right:4
i:22, j:17, left:5, right:4
i:22, j:18, left:5, right:4
i:22, j:32, left:8, right:9
i:22, j:36, left:7, right:8
i:22, j:37, left:7, right:8
i:22, j:39, left:6, right:8
i:22, j:40, left:6, right:7
i:22, j:57, left:5, right:5
i:22, j:58, left:5, right:5
i:22, j:63, left:4, right:4
i:22, j:66, left:4, right:4
i:22, j:67, left:4, right:4
i:22, j:84, left:6, right:6
i:22, j:88, left:6, right:6
i:22, j:89, left:6, right:6
i:22, j:91, left:6, right:7
i:22, j:92, left:7, right:7
i:22, j:93, left:7, right:7
i:22, j:95, left:7, right:7
i:22, j:96, left:8, right:8
i:22, j:97, left:8, right:8
i:22, j:102, left:8, right:8
i:22, j:103, left:8, right:8
i:22, j:104, left:8, right:8
